Snippet;Chars;EssentialChars;LoC;EssentialLoC;Max length LoC;Words;EssentialWords;CodeLines;EssentialCodeLines;number;version;Snippet_base;variant;Condition
-clean-v0;49;33;3;3;26;16;10;"['int V1 = 10;', 'int V2 = 3;', 'boolean R = (V1 - V2 > 5);']";[1, 1, 1];0;v0;--v0;clean;clean
-clean-v1;48;32;3;3;26;16;10;"['int V1 = 4;', 'int V2 = 2;', 'boolean R = (V1 + V2 < 5);']";[1, 1, 1];0;v1;--v1;clean;clean
-clean-v2;48;32;3;3;26;16;10;"['int V1 = 1;', 'int V2 = 5;', 'boolean R = (V1 + V2 > 7);']";[1, 1, 1];0;v2;--v2;clean;clean
-obf-v0;54;36;3;3;31;18;10;"['int V1 = 10;', 'int V2 = 3;', 'boolean R = ( !(V1 - V2 < 6) );']";[1, 1, 1];0;v0;--v0;obf;confusing
-obf-v1;54;36;3;3;32;18;10;"['int V1 = 4;', 'int V2 = 2;', 'boolean R = ( !(V1 + V2 >= 5) );']";[1, 1, 1];0;v1;--v1;obf;confusing
-obf-v2;54;36;3;3;32;18;10;"['int V1 = 1;', 'int V2 = 5;', 'boolean R = ( !(V1 + V2 <= 7) );']";[1, 1, 1];0;v2;--v2;obf;confusing
10-clean-v0;31;20;3;3;15;11;7;"['int V1 = 2;', '++V1;', 'int R = V1 - 2;']";[1, 1, 1];10;v0;10--v0;clean;clean
10-clean-v1;31;20;3;3;15;11;7;"['int V1 = 5;', '++V1;', 'int R = 5 - V1;']";[1, 1, 1];10;v1;10--v1;clean;clean
10-clean-v2;31;20;3;3;15;11;7;"['int V1 = 4;', '++V1;', 'int R = V1 + 2;']";[1, 1, 1];10;v2;10--v2;clean;clean
10-obf-v0;28;18;2;2;17;10;6;"['int V1 = 2;', 'int R = ++V1 - 2;']";[1, 1];10;v0;10--v0;obf;confusing
10-obf-v1;28;18;2;2;17;10;6;"['int V1 = 5;', 'int R = 5 - ++V1;']";[1, 1];10;v1;10--v1;obf;confusing
10-obf-v2;28;18;2;2;17;10;6;"['int V1 = 4;', 'int R = ++V1 + 2;']";[1, 1];10;v2;10--v2;obf;confusing
11-clean-v0;38;27;3;3;22;11;7;"['int V1 = 2;', '--V1;', 'boolean R = (V1 == 1);']";[1, 1, 1];11;v0;11--v0;clean;clean
